border,arm,draw,gas_sigma,co2_sigma,mean_spread,separated_pct,hours
DE_LU-CZ,ntc,21,-0.826108,-2.747357,-2.460675,32.638889,288
DE_LU-NL,ntc,21,-0.826108,-2.747357,3.323397,21.527778,288
DE_LU-BE,ntc,21,-0.826108,-2.747357,4.831144,30.208333,288
DE_LU-AT,ntc,21,-0.826108,-2.747357,3.126840,14.236111,288
DE_LU-CH,ntc,21,-0.826108,-2.747357,2.953124,23.958333,288
FR-BE,ntc,21,-0.826108,-2.747357,-5.651709,43.055556,288
FR-CH,ntc,21,-0.826108,-2.747357,-7.529729,37.152778,288
NL-BE,ntc,21,-0.826108,-2.747357,1.507747,22.916667,288
AT-CH,ntc,21,-0.826108,-2.747357,-0.173716,20.486111,288
AT-CZ,ntc,21,-0.826108,-2.747357,-5.587515,41.666667,288
CZ-PL,ntc,21,-0.826108,-2.747357,-4.978887,42.708333,288
DE_LU-FR,ntc,22,0.361224,0.113311,17.431340,56.944444,288
DE_LU-PL,ntc,22,0.361224,0.113311,-8.470873,45.833333,288
DE_LU-CZ,ntc,22,0.361224,0.113311,-2.475032,30.208333,288
DE_LU-NL,ntc,22,0.361224,0.113311,4.057175,18.750000,288
DE_LU-BE,ntc,22,0.361224,0.113311,6.909693,27.777778,288
DE_LU-AT,ntc,22,0.361224,0.113311,3.507236,12.500000,288
DE_LU-CH,ntc,22,0.361224,0.113311,4.907533,23.263889,288
FR-BE,ntc,22,0.361224,0.113311,-10.521646,40.972222,288
FR-CH,ntc,22,0.361224,0.113311,-12.523807,35.069444,288
NL-BE,ntc,22,0.361224,0.113311,2.852518,22.569444,288
AT-CH,ntc,22,0.361224,0.113311,1.400297,19.444444,288
AT-CZ,ntc,22,0.361224,0.113311,-5.982268,37.500000,288
CZ-PL,ntc,22,0.361224,0.113311,-5.995841,40.625000,288
DE_LU-FR,ntc,23,-2.034675,-0.688846,14.037795,67.013889,288
DE_LU-PL,ntc,23,-2.034675,-0.688846,-15.388318,73.611111,288
DE_LU-CZ,ntc,23,-2.034675,-0.688846,-6.381557,35.763889,288
DE_LU-NL,ntc,23,-2.034675,-0.688846,5.194630,25.000000,288
DE_LU-BE,ntc,23,-2.034675,-0.688846,7.318717,36.458333,288
DE_LU-AT,ntc,23,-2.034675,-0.688846,4.412111,15.277778,288
DE_LU-CH,ntc,23,-2.034675,-0.688846,4.434186,25.694444,288
FR-BE,ntc,23,-2.034675,-0.688846,-6.719078,46.180556,288
FR-CH,ntc,23,-2.034675,-0.688846,-9.603609,44.097222,288
NL-BE,ntc,23,-2.034675,-0.688846,2.124087,27.083333,288
AT-CH,ntc,23,-2.034675,-0.688846,0.022075,22.569444,288
AT-CZ,ntc,23,-2.034675,-0.688846,-10.793667,45.138889,288
CZ-PL,ntc,23,-2.034675,-0.688846,-9.006761,56.944444,288
DE_LU-FR,ntc,24,-0.450022,-1.526510,13.142801,59.027778,288
DE_LU-PL,ntc,24,-0.450022,-1.526510,-8.142366,50.000000,288
DE_LU-CZ,ntc,24,-0.450022,-1.526510,-2.677099,31.250000,288
DE_LU-NL,ntc,24,-0.450022,-1.526510,3.621709,19.444444,288
DE_LU-BE,ntc,24,-0.450022,-1.526510,5.680540,29.861111,288
DE_LU-AT,ntc,24,-0.450022,-1.526510,3.350968,14.236111,288
DE_LU-CH,ntc,24,-0.450022,-1.526510,3.744849,23.958333,288
FR-BE,ntc,24,-0.450022,-1.526510,-7.462260,42.708333,288
FR-CH,ntc,24,-0.450022,-1.526510,-9.397951,36.458333,288
NL-BE,ntc,24,-0.450022,-1.526510,2.058831,22.916667,288
AT-CH,ntc,24,-0.450022,-1.526510,0.393881,20.486111,288
AT-CZ,ntc,24,-0.450022,-1.526510,-6.028067,40.277778,288
CZ-PL,ntc,24,-0.450022,-1.526510,-5.465268,43.402778,288
DE_LU-FR,ntc,25,1.134207,1.735230,21.821023,54.166667,288
DE_LU-PL,ntc,25,1.134207,1.735230,-9.074607,45.138889,288
DE_LU-CZ,ntc,25,1.134207,1.735230,-2.314012,28.472222,288
DE_LU-NL,ntc,25,1.134207,1.735230,4.728667,18.055556,288
DE_LU-BE,ntc,25,1.134207,1.735230,8.154658,26.388889,288
DE_LU-AT,ntc,25,1.134207,1.735230,3.738550,11.805556,288
DE_LU-CH,ntc,25,1.134207,1.735230,6.117426,22.222222,288
FR-BE,ntc,25,1.134207,1.735230,-13.666366,39.236111,288
FR-CH,ntc,25,1.134207,1.735230,-15.703598,33.333333,288
NL-BE,ntc,25,1.134207,1.735230,3.425991,20.486111,288
AT-CH,ntc,25,1.134207,1.735230,2.378875,18.750000,288
AT-CZ,ntc,25,1.134207,1.735230,-6.052563,34.375000,288
CZ-PL,ntc,25,1.134207,1.735230,-6.760595,38.888889,288
DE_LU-FR,ntc,26,0.742427,1.239212,20.281899,56.597222,288
DE_LU-PL,ntc,26,0.742427,1.239212,-9.098831,45.833333,288
DE_LU-CZ,ntc,26,0.742427,1.239212,-2.577033,28.125000,288
DE_LU-NL,ntc,26,0.742427,1.239212,4.516469,17.708333,288
DE_LU-BE,ntc,26,0.742427,1.239212,7.821465,27.430556,288
DE_LU-AT,ntc,26,0.742427,1.239212,3.724708,12.152778,288
DE_LU-CH,ntc,26,0.742427,1.239212,5.720315,22.916667,288
FR-BE,ntc,26,0.742427,1.239212,-12.460434,40.972222,288
FR-CH,ntc,26,0.742427,1.239212,-14.561584,35.069444,288
NL-BE,ntc,26,0.742427,1.239212,3.304997,22.222222,288
AT-CH,ntc,26,0.742427,1.239212,1.995607,19.444444,288
AT-CZ,ntc,26,0.742427,1.239212,-6.301741,35.763889,288
CZ-PL,ntc,26,0.742427,1.239212,-6.521798,40.625000,288
DE_LU-FR,ntc,27,-1.609917,-0.611588,14.497903,65.625000,288
DE_LU-PL,ntc,27,-1.609917,-0.611588,-13.545526,69.791667,288
DE_LU-CZ,ntc,27,-1.609917,-0.611588,-5.530599,34.722222,288
DE_LU-NL,ntc,27,-1.609917,-0.611588,5.029716,23.958333,288
DE_LU-BE,ntc,27,-1.609917,-0.611588,7.232279,35.416667,288
DE_LU-AT,ntc,27,-1.609917,-0.611588,4.308027,15.277778,288
DE_LU-CH,ntc,27,-1.609917,-0.611588,4.449198,25.000000,288
FR-BE,ntc,27,-1.609917,-0.611588,-7.265624,46.875000,288
FR-CH,ntc,27,-1.609917,-0.611588,-10.048705,43.055556,288
NL-BE,ntc,27,-1.609917,-0.611588,2.202563,26.388889,288
AT-CH,ntc,27,-1.609917,-0.611588,0.141172,21.875000,288
AT-CZ,ntc,27,-1.609917,-0.611588,-9.838626,44.097222,288
CZ-PL,ntc,27,-1.609917,-0.611588,-8.014927,54.861111,288
DE_LU-FR,ntc,28,-1.502852,-0.664543,14.452633,65.625000,288
DE_LU-PL,ntc,28,-1.502852,-0.664543,-13.021472,69.097222,288
DE_LU-CZ,ntc,28,-1.502852,-0.664543,-5.280108,35.416667,288
DE_LU-NL,ntc,28,-1.502852,-0.664543,4.914821,23.958333,288
DE_LU-BE,ntc,28,-1.502852,-0.664543,7.127358,35.069444,288
